date,description,amount,category,paymentMethod
3/1/2026,Freelance UI Fixes,30000,Freelance / Contract,Bank Transfer
3/1/2026,Sunday Lunch (Amala Spot),-6500,Dining Out,Cash
3/1/2026,Mobile Data Renewal,-4000,Subscriptions,Bank Transfer
3/2/2026,Contract Development (Advance),730000,Freelance / Contract,Bank Transfer
3/2/2026,BRT Bus Fare,-1500,Public Transport,Cash
3/2/2026,Office Lunch,-3500,Dining Out,Cash
3/3/2026,Affiliate Earnings (Dev Blog),20000,Affiliate Income,Bank Transfer
3/3/2026,Groceries (Weekly Restock),-10000,Groceries,Card
3/3/2026,Haircut & Beard Trim,-3000,Personal Care,Cash
3/4/2026,Interest Credit,2200,Interest,Bank Transfer
3/4/2026,Electricity Token Purchase,-9000,Utilities,Bank Transfer
3/4/2026,Snacks & Soft Drink,-1500,Coffee & Snacks,Cash
3/5/2026,Freelance API Integration,35000,Freelance / Contract,Bank Transfer
3/5/2026,Uber Ride (Client Visit),-4800,Ride Hailing,Card
3/5/2026,Dinner (Takeout Rice),-6000,Dining Out,Cash
3/6/2026,Gift from Family,15000,Gifts,Bank Transfer
3/6/2026,Spotify Subscription,-1600,Subscriptions,Card
3/6/2026,Fuel Top-up,-8500,Fuel,Cash
3/7/2026,Side Hustle (Mini Import Sales),25000,Business Income,Bank Transfer
3/7/2026,Weekend Hangout (Suya & Drinks),-7000,Entertainment,Cash
3/7/2026,Laundry Service,-3500,Personal Care,Cash
