date,description,amount,category,paymentMethod
3/15/2026,Sunday Lunch (Amala & Beef),-6500,Dining Out,Cash
3/15/2026,Mobile Data Top-up,-3500,Subscriptions,Bank Transfer
3/15/2026,Creator Payout (YouTube Shorts),22000,Creator Payouts (YouTube, TikTok, X),Bank Transfer
3/16/2026,BRT Bus Fare,-1500,Public Transport,Cash
3/16/2026,Office Lunch,-3200,Dining Out,Cash
3/16/2026,Evening Snacks,-1500,Coffee & Snacks,Cash
3/17/2026,Freelance Website Bug Fix,26000,Freelance / Contract,Bank Transfer
3/17/2026,Groceries (Weekly Essentials),-11500,Groceries,Card
3/17/2026,Toiletries Purchase,-4000,Personal Care,Cash
3/18/2026,Interest Credit,2100,Interest,Bank Transfer
3/18/2026,Electricity Token Purchase,-8500,Utilities,Bank Transfer
3/18/2026,Shawarma & Drink,-2200,Coffee & Snacks,Cash
3/19/2026,Freelance Landing Page Edit,24000,Freelance / Contract,Bank Transfer
3/19/2026,Uber Ride (Client Visit),-4700,Ride Hailing,Card
3/19/2026,Dinner Takeout,-5800,Dining Out,Cash
3/20/2026,Investment Transfer,-15000,Investments,Bank Transfer
3/20/2026,Spotify Subscription,-2500,Subscriptions,Card
3/20/2026,Fuel Purchase,-8200,Fuel,Cash
3/21/2026,Side Hustle (Phone Accessories Sales),23000,Business Income,Bank Transfer
3/21/2026,Weekend Hangout (Suya & Drinks),-7200,Entertainment,Cash
3/21/2026,Laundry Service,-3500,Personal Care,Cash

