date,description,amount,category,paymentMethod
2/22/2026,Freelance Bug Fix Task,28000,Freelance / Contract,Bank Transfer
2/22/2026,Sunday Rice & Chicken,-6000,Dining Out,Cash
2/22/2026,Mobile Data Top-up,-3500,Subscriptions,Bank Transfer
2/23/2026,BRT Bus Fare,-1200,Public Transport,Cash
2/23/2026,Office Lunch,-3200,Dining Out,Cash
2/23/2026,February Salary,200000,Salary,Bank Transfer
2/24/2026,Affiliate Earnings (Tech Blog),15000,Affiliate Income,Bank Transfer
2/24/2026,Groceries (Essentials),-9000,Groceries,Card
2/24/2026,Toiletries Purchase,-4000,Personal Care,Cash
2/25/2026,Interest Credit,1800,Interest,Bank Transfer
2/25/2026,Electricity Token,-8000,Utilities,Bank Transfer
2/25/2026,Item7 Shawarma,-3500,Coffee & Snacks,Cash
2/26/2026,Freelance Landing Page Design,30000,Freelance / Contract,Bank Transfer
2/26/2026,Uber Ride (Client Meeting),-5000,Ride Hailing,Card
2/26/2026,Dinner (Takeout),-5500,Dining Out,Cash
2/27/2026,Gift Received,12000,Gifts,Bank Transfer
2/27/2026,Netflix Subscription,-4400,Subscriptions,Card
2/27/2026,Fuel Purchase,-7500,Fuel,Cash
2/28/2026,Side Hustle (POS Sales Profit),22000,Business Income,Bank Transfer
2/28/2026,Weekend Hangout (Drinks & Suya),-6500,Entertainment,Cash
2/28/2026,Laundry & Cleaning,-3000,Personal Care,Cash
