date,description,amount,category,paymentMethod
3/8/2026,Freelance Website Tweaks,30000,Freelance / Contract,Bank Transfer
3/8/2026,Sunday Lunch (Rice & Chicken),-6000,Dining Out,Cash
3/8/2026,Mobile Data Subscription,-3500,Subscriptions,Bank Transfer
3/9/2026,BRT Bus Fare,-1500,Public Transport,Cash
3/9/2026,Office Lunch,-3200,Dining Out,Cash
3/9/2026,Evening Snacks,-1200,Coffee & Snacks,Cash
3/10/2026,Affiliate Blog Earnings,17000,Affiliate Income,Bank Transfer
3/10/2026,Groceries (Weekly Restock),-10500,Groceries,Card
3/10/2026,Haircut & Beard Trim,-3000,Personal Care,Cash
3/11/2026,Interest Credit,2200,Interest,Bank Transfer
3/11/2026,Electricity Token Purchase,-9000,Utilities,Bank Transfer
3/11/2026,Shawarma & Drink,-2000,Coffee & Snacks,Cash
3/12/2026,Freelance Bug Fix Task,25000,Freelance / Contract,Bank Transfer
3/12/2026,Uber Ride (Client Meeting),-4500,Ride Hailing,Card
3/12/2026,Dinner Takeout,-5500,Dining Out,Cash
3/13/2026,Transfer to Savings,-20000,Savings,Bank Transfer
3/13/2026,Spotify Subscription,-1600,Subscriptions,Card
3/13/2026,Fuel Top-up,-8000,Fuel,Cash
3/14/2026,Side Hustle (Mini Gadget Sales),24000,Business Income,Bank Transfer
3/14/2026,Weekend Hangout (Suya & Drinks),-7000,Entertainment,Cash
3/14/2026,Laundry Service,-3500,Personal Care,Cash

